,pert_iname,clinical_phase,moa,target,disease_area,indication,moa_nsclc,moa_group
5205,rociletinib,Phase 3,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5209,rogaratinib,Phase 2/Phase 3,FGFR inhibitor,,,,FGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5215,romidepsin,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,cutaneous T-cell lymphoma (CTCL),HDAC inhibitor,HDAC inhibitor
5219,roquinimex,Phase 3,angiogenesis inhibitor|tumor necrosis factor production inhibitor,,,,Angiogenesis inhibitor,Angiogenesis / VEGF axis
5227,rosoxacin,Launched,topoisomerase inhibitor,,infectious disease,urinary tract infections,Topoisomerase inhibitor,Topoisomerase inhibitor
5262,rubitecan,Phase 3,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
5264,rucaparib,Phase 3,PARP inhibitor,PARP1|PARP2,,,PARP inhibitor,DNA damage & repair
5273,RV1729,Phase 1,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
5281,R306465,Phase 1,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
5290,S-111,Phase 2,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
5313,salirasib,Phase 2,mTOR inhibitor,TRPA1,,,mTOR inhibitor,PI3K–AKT–mTOR
5318,salvianolic-acid-B,Phase 2,EGFR inhibitor|metalloproteinase inhibitor,MMP9,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5332,SAR-245409,Phase 1/Phase 2,PI3K inhibitor,MTOR|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
5340,SAR131675,Preclinical,VEGFR inhibitor,FLT4,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5341,SAR405,Preclinical,PI3K inhibitor,PIK3C3,,,PI3K inhibitor,PI3K–AKT–mTOR
5345,satraplatin,Phase 3,DNA alkylating agent,,,,Alkylating / Cross-linking agent,DNA damage & repair
5346,savolitinib,Phase 3,c-Met inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5362,SB-2343,Phase 1,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
5379,SB-505124,Preclinical,ALK tyrosine kinase receptor inhibitor,TGFBR1,,,ALK inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5381,SB-590885,Preclinical,RAF inhibitor,BRAF,,,RAF inhibitor,MAPK (RAF→MEK)
5393,SB-939,Phase 3,HDAC inhibitor,HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC9,,,HDAC inhibitor,HDAC inhibitor
5395,SBHA,Preclinical,HDAC inhibitor,HDAC1|HDAC3,,,HDAC inhibitor,HDAC inhibitor
5422,scriptaid,Preclinical,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,HDAC inhibitor,HDAC inhibitor
5440,secnidazole,Launched,acetylcholinesterase inhibitor|microtubule inhibitor,,infectious disease,protozoan infection,Microtubule inhibitor,Mitotic / cell-cycle
5449,seletalisib,Preclinical,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
5455,selumetinib,Phase 3,MEK inhibitor,MAP2K1,,,MEK inhibitor,MAPK (RAF→MEK)
5458,semaxanib,Phase 3,VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5459,semustine,Phase 3,DNA alkylating agent,,,,Alkylating / Cross-linking agent,DNA damage & repair
5485,SGX523,Phase 1,hepatocyte growth factor receptor inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5504,sinomenine,Preclinical,angiogenesis inhibitor,,,,Angiogenesis inhibitor,Angiogenesis / VEGF axis
5509,sirolimus,Launched,mTOR inhibitor,FKBP1A|MTOR,transplant|pulmonary,organ rejection|lymphangioleiomyomatosis,mTOR inhibitor,PI3K–AKT–mTOR
5536,SKLB-1028,Preclinical,Abl kinase inhibitor|EGFR inhibitor|FLT3 inhibitor,,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5537,SKLB1002,Preclinical,VEGFR inhibitor,KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5546,SN-38,Launched,topoisomerase inhibitor,TOP1,oncology,colorectal cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
5557,soblidotin,Phase 2,microtubule inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
5559,sobuzoxane,Launched,topoisomerase inhibitor,,hematologic malignancy,peripheral T-cell lymphoma (PTCL),Topoisomerase inhibitor,Topoisomerase inhibitor
5561,sodium-butyrate,Phase 2,HDAC inhibitor,BCHE|FFAR2|FFAR3|HDAC1|HDAC2|HDAC3|HDAC8,,,HDAC inhibitor,HDAC inhibitor
5668,streptozotocin,Launched,DNA alkylating agent,,oncology,pancreatic cancer,Alkylating / Cross-linking agent,DNA damage & repair
5740,SU014813,Phase 2,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5741,SU11274,Preclinical,hepatocyte growth factor receptor inhibitor|tyrosine kinase inhibitor,MET,,,MET inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5744,SU4312,Preclinical,PDGFR tyrosine kinase receptor inhibitor|tyrosine kinase inhibitor|VEGFR inhibitor,KDR|PDGFRB,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5772,tacedinaline,Phase 3,HDAC inhibitor,HDAC1,,,HDAC inhibitor,HDAC inhibitor
5783,TAK-285,Phase 1,EGFR inhibitor,ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
5784,TAK-593,Phase 1,VEGFR inhibitor,PDGFRA,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5785,TAK-632,Preclinical,RAF inhibitor,BRAF,,,RAF inhibitor,MAPK (RAF→MEK)
5788,TAK-733,Phase 1,MEK inhibitor,MAP2K1,,,MEK inhibitor,MAPK (RAF→MEK)
5798,talazoparib,Launched,PARP inhibitor,PARP2,oncology,breast cancer,PARP inhibitor,DNA damage & repair
5807,taltobulin,Phase 1,tubulin polymerization inhibitor,,,,Microtubule inhibitor,Mitotic / cell-cycle
5828,TAS-103,Phase 1,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
5829,taselisib,Phase 3,PI3K inhibitor,PIK3CA,,,PI3K inhibitor,PI3K–AKT–mTOR
5832,tasquinimod,Phase 3,angiogenesis inhibitor|S100A9 inhibitor,HDAC4,,,Angiogenesis inhibitor,Angiogenesis / VEGF axis
5856,TC-H-106,Preclinical,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC8,,,HDAC inhibitor,HDAC inhibitor
5875,TCS-HDAC6-20b,Preclinical,HDAC inhibitor,HDAC6,,,HDAC inhibitor,HDAC inhibitor
5903,telatinib,Phase 2,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5917,temozolomide,Launched,DNA alkylating agent,MGMT,oncology,glioblastoma|astrocytoma,Alkylating / Cross-linking agent,DNA damage & repair
5919,temsirolimus,Launched,mTOR inhibitor,MTOR,oncology,renal cell carcinoma (RCC),mTOR inhibitor,PI3K–AKT–mTOR
5921,tenalisib,Phase 2,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
5927,teniposide,Launched,topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute lymphoblastic leukemia (ALL),Topoisomerase inhibitor,Topoisomerase inhibitor
5974,TG-100572,Preclinical,SRC inhibitor|VEGFR inhibitor,KDR|SRC,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5975,TG-100713,Preclinical,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
5976,TG-100801,Phase 2,SRC inhibitor|VEGFR inhibitor,CSK|FGFR1|FLT1|FLT4|KDR|SRC,,,VEGFR inhibitor,Angiogenesis / VEGF axis
5978,TGR-1202,Phase 3,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
5979,TGX-221,Preclinical,PI3K inhibitor,PIK3CB|PIK3CD,,,PI3K inhibitor,PI3K–AKT–mTOR
5980,TG100-115,Phase 1/Phase 2,PI3K inhibitor,PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
5981,TH-302,Phase 3,DNA alkylating agent,,,,Alkylating / Cross-linking agent,DNA damage & repair
6020,tiabendazole,Launched,angiogenesis inhibitor,,infectious disease,gastrointestinal roundworms|hookworm,Angiogenesis inhibitor,Angiogenesis / VEGF axis
6065,tivozanib,Launched,VEGFR inhibitor,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB,oncology,renal cell carcinoma (RCC),VEGFR inhibitor,Angiogenesis / VEGF axis
6105,topotecan,Launched,topoisomerase inhibitor,TOP1|TOP1MT,oncology,small cell lung cancer|cervical cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
6110,torin-1,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
6111,torin-2,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
6128,trametinib,Launched,MEK inhibitor,MAP2K1|MAP2K2,oncology,melanoma,MEK inhibitor,MAPK (RAF→MEK)
6132,tranilast,Launched,angiogenesis inhibitor,HPGDS|HRH1,pulmonary,asthma,Angiogenesis inhibitor,Angiogenesis / VEGF axis
6163,tributyrin,Phase 1,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
6168,trichostatin-a,Phase 1,HDAC inhibitor,HDAC1|HDAC10|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,HDAC inhibitor,HDAC inhibitor
6171,triclabendazole,Launched,microtubule inhibitor,DNMT1,infectious disease,tapeworm,Microtubule inhibitor,Mitotic / cell-cycle
6179,trifluridine,Launched,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor,TYMS,infectious disease,virus herpes simplex (HSV),Thymidylate synthase inhibitor,DNA damage & repair
6205,trofosfamide,Launched,DNA alkylating agent,,oncology,medulloblastoma,Alkylating / Cross-linking agent,DNA damage & repair
6230,tubastatin-A,Preclinical,HDAC inhibitor,HDAC6,,,HDAC inhibitor,HDAC inhibitor
6232,tucatinib,Phase 3,EGFR inhibitor,ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6233,tucidinostat,Phase 3,HDAC inhibitor,,,,HDAC inhibitor,HDAC inhibitor
6246,tyrphostin-AG-1478,Preclinical,EGFR inhibitor,EGFR|MAPK14,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6247,tyrphostin-AG-18,Preclinical,EGFR inhibitor|tyrosine kinase inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6248,tyrphostin-AG-494,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6254,U-0124,Preclinical,MEK inhibitor,,,,MEK inhibitor,MAPK (RAF→MEK)
6255,U-0126,Preclinical,MEK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAP2K1|MAP2K2|MAP2K7|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|RAF1|ROCK1|RPS6KB1|SGK1,,,MEK inhibitor,MAPK (RAF→MEK)
6272,UF-010,Preclinical,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC8,,,HDAC inhibitor,HDAC inhibitor
6301,UPF-1069,Preclinical,PARP inhibitor,PARP2,,,PARP inhibitor,DNA damage & repair
6331,valproic-acid,Launched,benzodiazepine receptor agonist|HDAC inhibitor,ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,epilepsy|seizures|seizures,HDAC inhibitor,HDAC inhibitor
6334,valrubicin,Launched,DNA inhibitor|topoisomerase inhibitor,TOP2A,oncology,bladder cancer,Topoisomerase inhibitor,Topoisomerase inhibitor
6338,vandetanib,Launched,EGFR inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|VEGFA,oncology,medullary thyroid cancer (MTC),EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6349,vatalanib,Phase 3,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,EGFR|FLT1|FLT4|KDR|PDGFRB,,,VEGFR inhibitor,Angiogenesis / VEGF axis
6361,veliparib,Phase 3,PARP inhibitor,PARP1|PARP2,,,PARP inhibitor,DNA damage & repair
6364,vemurafenib,Launched,RAF inhibitor,BRAF|RAF1,oncology,melanoma,RAF inhibitor,MAPK (RAF→MEK)
6380,verubulin,Phase 2,tubulin polymerization inhibitor,TUBB,,,Microtubule inhibitor,Mitotic / cell-cycle
6392,vinblastine,Launched,microtubule inhibitor|tubulin polymerization inhibitor,JUN|TUBA1A|TUBB|TUBD1|TUBE1|TUBG1,hematologic malignancy|infectious disease|oncology,Hodgkin's lymphoma|true histiocytic lymphoma (THL)|mycosis|small lymphocytic lymphoma (SLL)|testicular carcinoma|Kaposi sarcoma,Microtubule inhibitor,Mitotic / cell-cycle
6395,vincristine,Launched,tubulin polymerization inhibitor,TUBA4A|TUBB,hematologic malignancy,acute lymphoblastic leukemia (ALL),Microtubule inhibitor,Mitotic / cell-cycle
6396,vindesine,Launched,tubulin polymerization inhibitor,TUBB|TUBB1,oncology,breast cancer|non-small cell lung cancer (NSCLC)|melanoma,Microtubule inhibitor,Mitotic / cell-cycle
6397,vinflunine,Launched,microtubule inhibitor,,oncology,bladder cancer,Microtubule inhibitor,Mitotic / cell-cycle
6398,vinorelbine,Launched,tubulin polymerization inhibitor,TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,oncology,non-small cell lung cancer (NSCLC),Microtubule inhibitor,Mitotic / cell-cycle
6417,voreloxin,Phase 3,topoisomerase inhibitor,TOP2A,,,Topoisomerase inhibitor,Topoisomerase inhibitor
6419,vorinostat,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9,hematologic malignancy,cutaneous T-cell lymphoma (CTCL),HDAC inhibitor,HDAC inhibitor
6423,voxtalisib,Phase 2,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA,,,PI3K inhibitor,PI3K–AKT–mTOR
6464,WAY-600,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
6476,wortmannin,Preclinical,PI3K inhibitor,PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC,,,PI3K inhibitor,PI3K–AKT–mTOR
6484,WYE-125132,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
6485,WYE-354,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
6486,WYE-687,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
6487,WZ-3146,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6488,WZ-4002,Preclinical,EGFR inhibitor,EGFR|ERBB2,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6490,WZ8040,Preclinical,EGFR inhibitor,EGFR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6506,XL147,Phase 2,PI3K inhibitor,PIK3CA|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
6508,XL388,Preclinical,mTOR inhibitor,MTOR,,,mTOR inhibitor,PI3K–AKT–mTOR
6509,XL647,Phase 3,EGFR inhibitor|VEGFR inhibitor,EGFR|EPHB4|ERBB2|FLT4|KDR,,,EGFR inhibitor,RTK oncogenic drivers (EGFP/ALK/MET/FGFR)
6530,YM-201636,Preclinical,PI3K inhibitor,,,,PI3K inhibitor,PI3K–AKT–mTOR
6586,ZM-306416,Preclinical,Abl kinase inhibitor|SRC inhibitor|VEGFR inhibitor,EGFR|FLT1|FLT4|KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
6587,ZM-323881,Preclinical,VEGFR inhibitor,KDR,,,VEGFR inhibitor,Angiogenesis / VEGF axis
6588,ZM-336372,Preclinical,RAF inhibitor,BRAF|LCK|MAPK14|RAF1,,,RAF inhibitor,MAPK (RAF→MEK)
6603,zotarolimus,Launched,mTOR inhibitor,FKBP1A,cardiology,coronary artery restenosis,mTOR inhibitor,PI3K–AKT–mTOR
6607,ZSTK-474,Phase 1/Phase 2,PI3K inhibitor,PIK3CB|PIK3CD|PIK3CG,,,PI3K inhibitor,PI3K–AKT–mTOR
6634,10-hydroxycamptothecin,Preclinical,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
6700,3-amino-benzamide,Phase 2,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
6716,3-methyladenine,Preclinical,PI3K inhibitor,PI3,,,PI3K inhibitor,PI3K–AKT–mTOR
6732,4-HQN,Preclinical,PARP inhibitor,PARP1,,,PARP inhibitor,DNA damage & repair
6750,4SC-202,Phase 1,HDAC inhibitor,HDAC1,,,HDAC inhibitor,HDAC inhibitor
6760,5-fluorouracil,Launched,thymidylate synthase inhibitor,DPYD|TYMS,oncology,colorectal cancer|breast cancer|pancreatic cancer|gastric adenocarcinoma,Thymidylate synthase inhibitor,DNA damage & repair
6761,5-FP,Phase 1,thymidylate synthase inhibitor,TYMS,,,Thymidylate synthase inhibitor,DNA damage & repair
6796,9-aminocamptothecin,Phase 2,topoisomerase inhibitor,TOP1,,,Topoisomerase inhibitor,Topoisomerase inhibitor
